filename,emotion
dataset\Actor_01\03-01-06-01-02-02-01.wav,fearful
dataset\Actor_01\03-01-06-02-01-01-01.wav,fearful
dataset\Actor_01\03-01-06-02-01-02-01.wav,fearful
dataset\Actor_01\03-01-06-02-02-01-01.wav,fearful
dataset\Actor_01\03-01-06-02-02-02-01.wav,fearful
dataset\Actor_01\03-01-07-01-01-01-01.wav,disgust
dataset\Actor_01\03-01-07-01-01-02-01.wav,disgust
dataset\Actor_01\03-01-07-01-02-01-01.wav,disgust
dataset\Actor_01\03-01-07-01-02-02-01.wav,disgust
dataset\Actor_01\03-01-07-02-01-01-01.wav,disgust
dataset\Actor_01\03-01-07-02-01-02-01.wav,disgust
dataset\Actor_01\03-01-07-02-02-01-01.wav,disgust
dataset\Actor_01\03-01-07-02-02-02-01.wav,disgust
dataset\Actor_01\03-01-08-01-01-01-01.wav,surprised
dataset\Actor_01\03-01-08-01-01-02-01.wav,surprised
dataset\Actor_01\03-01-08-01-02-01-01.wav,surprised
dataset\Actor_01\03-01-08-01-02-02-01.wav,surprised
dataset\Actor_01\03-01-08-02-01-01-01.wav,surprised
dataset\Actor_01\03-01-08-02-01-02-01.wav,surprised
dataset\Actor_01\03-01-08-02-02-01-01.wav,surprised
dataset\Actor_01\03-01-08-02-02-02-01.wav,surprised
dataset\Actor_02\03-01-01-01-01-01-02.wav,neutral
dataset\Actor_02\03-01-01-01-01-02-02.wav,neutral
dataset\Actor_02\03-01-01-01-02-01-02.wav,neutral
dataset\Actor_02\03-01-01-01-02-02-02.wav,neutral
dataset\Actor_02\03-01-02-01-01-01-02.wav,calm
dataset\Actor_02\03-01-02-01-01-02-02.wav,calm
dataset\Actor_02\03-01-02-01-02-01-02.wav,calm
dataset\Actor_02\03-01-02-01-02-02-02.wav,calm
dataset\Actor_02\03-01-02-02-01-01-02.wav,calm
dataset\Actor_02\03-01-02-02-01-02-02.wav,calm
dataset\Actor_02\03-01-02-02-02-01-02.wav,calm
dataset\Actor_02\03-01-02-02-02-02-02.wav,calm
dataset\Actor_02\03-01-03-01-01-01-02.wav,happy
dataset\Actor_02\03-01-03-01-01-02-02.wav,happy
dataset\Actor_02\03-01-03-01-02-01-02.wav,happy
dataset\Actor_02\03-01-03-01-02-02-02.wav,happy
dataset\Actor_02\03-01-03-02-01-01-02.wav,happy
dataset\Actor_02\03-01-03-02-01-02-02.wav,happy
dataset\Actor_02\03-01-03-02-02-01-02.wav,happy
dataset\Actor_02\03-01-03-02-02-02-02.wav,happy
dataset\Actor_02\03-01-04-01-01-01-02.wav,sad
dataset\Actor_02\03-01-04-01-01-02-02.wav,sad
dataset\Actor_02\03-01-04-01-02-01-02.wav,sad
dataset\Actor_02\03-01-04-01-02-02-02.wav,sad
dataset\Actor_02\03-01-04-02-01-01-02.wav,sad
dataset\Actor_02\03-01-04-02-01-02-02.wav,sad
dataset\Actor_02\03-01-04-02-02-01-02.wav,sad
dataset\Actor_02\03-01-04-02-02-02-02.wav,sad
dataset\Actor_02\03-01-05-01-01-01-02.wav,angry
dataset\Actor_02\03-01-05-01-01-02-02.wav,angry
dataset\Actor_02\03-01-05-01-02-01-02.wav,angry
dataset\Actor_02\03-01-05-01-02-02-02.wav,angry
dataset\Actor_02\03-01-05-02-01-01-02.wav,angry
dataset\Actor_02\03-01-05-02-01-02-02.wav,angry
dataset\Actor_02\03-01-05-02-02-01-02.wav,angry
dataset\Actor_02\03-01-05-02-02-02-02.wav,angry
dataset\Actor_02\03-01-06-01-01-01-02.wav,fearful
dataset\Actor_02\03-01-06-01-01-02-02.wav,fearful
dataset\Actor_02\03-01-06-01-02-01-02.wav,fearful
dataset\Actor_02\03-01-06-01-02-02-02.wav,fearful
dataset\Actor_02\03-01-06-02-01-01-02.wav,fearful
dataset\Actor_02\03-01-06-02-01-02-02.wav,fearful
dataset\Actor_02\03-01-06-02-02-01-02.wav,fearful
dataset\Actor_02\03-01-06-02-02-02-02.wav,fearful
dataset\Actor_02\03-01-07-01-01-01-02.wav,disgust
dataset\Actor_02\03-01-07-01-01-02-02.wav,disgust
dataset\Actor_02\03-01-07-01-02-01-02.wav,disgust
dataset\Actor_02\03-01-07-01-02-02-02.wav,disgust
dataset\Actor_02\03-01-07-02-01-01-02.wav,disgust
dataset\Actor_02\03-01-07-02-01-02-02.wav,disgust
dataset\Actor_02\03-01-07-02-02-01-02.wav,disgust
dataset\Actor_02\03-01-07-02-02-02-02.wav,disgust
dataset\Actor_02\03-01-08-01-01-01-02.wav,surprised
dataset\Actor_02\03-01-08-01-01-02-02.wav,surprised
dataset\Actor_02\03-01-08-01-02-01-02.wav,surprised
dataset\Actor_02\03-01-08-01-02-02-02.wav,surprised
dataset\Actor_02\03-01-08-02-01-01-02.wav,surprised
dataset\Actor_02\03-01-08-02-01-02-02.wav,surprised
dataset\Actor_02\03-01-08-02-02-01-02.wav,surprised
dataset\Actor_02\03-01-08-02-02-02-02.wav,surprised
dataset\Actor_03\03-01-01-01-01-01-03.wav,neutral
dataset\Actor_03\03-01-01-01-01-02-03.wav,neutral
dataset\Actor_03\03-01-01-01-02-01-03.wav,neutral
dataset\Actor_03\03-01-01-01-02-02-03.wav,neutral
dataset\Actor_03\03-01-02-01-01-01-03.wav,calm
dataset\Actor_03\03-01-02-01-01-02-03.wav,calm
dataset\Actor_03\03-01-02-01-02-01-03.wav,calm
dataset\Actor_03\03-01-02-01-02-02-03.wav,calm
dataset\Actor_03\03-01-02-02-01-01-03.wav,calm
dataset\Actor_03\03-01-02-02-01-02-03.wav,calm
dataset\Actor_03\03-01-02-02-02-01-03.wav,calm
dataset\Actor_03\03-01-02-02-02-02-03.wav,calm
dataset\Actor_03\03-01-03-01-01-01-03.wav,happy
dataset\Actor_03\03-01-03-01-01-02-03.wav,happy
dataset\Actor_03\03-01-03-01-02-01-03.wav,happy
dataset\Actor_03\03-01-03-01-02-02-03.wav,happy
dataset\Actor_03\03-01-03-02-01-01-03.wav,happy
dataset\Actor_03\03-01-03-02-01-02-03.wav,happy
dataset\Actor_03\03-01-03-02-02-01-03.wav,happy
dataset\Actor_03\03-01-03-02-02-02-03.wav,happy
dataset\Actor_03\03-01-04-01-01-01-03.wav,sad
dataset\Actor_03\03-01-04-01-01-02-03.wav,sad
dataset\Actor_03\03-01-04-01-02-01-03.wav,sad
dataset\Actor_03\03-01-04-01-02-02-03.wav,sad
dataset\Actor_03\03-01-04-02-01-01-03.wav,sad
dataset\Actor_03\03-01-04-02-01-02-03.wav,sad
dataset\Actor_03\03-01-04-02-02-01-03.wav,sad
dataset\Actor_03\03-01-04-02-02-02-03.wav,sad
dataset\Actor_03\03-01-05-01-01-01-03.wav,angry
dataset\Actor_03\03-01-05-01-01-02-03.wav,angry
dataset\Actor_03\03-01-05-01-02-01-03.wav,angry
dataset\Actor_03\03-01-05-01-02-02-03.wav,angry
dataset\Actor_03\03-01-05-02-01-01-03.wav,angry
dataset\Actor_03\03-01-05-02-01-02-03.wav,angry
dataset\Actor_03\03-01-05-02-02-01-03.wav,angry
dataset\Actor_03\03-01-05-02-02-02-03.wav,angry
dataset\Actor_03\03-01-06-01-01-01-03.wav,fearful
dataset\Actor_03\03-01-06-01-01-02-03.wav,fearful
dataset\Actor_03\03-01-06-01-02-01-03.wav,fearful
dataset\Actor_03\03-01-06-01-02-02-03.wav,fearful
dataset\Actor_03\03-01-06-02-01-01-03.wav,fearful
dataset\Actor_03\03-01-06-02-01-02-03.wav,fearful
dataset\Actor_03\03-01-06-02-02-01-03.wav,fearful
dataset\Actor_03\03-01-06-02-02-02-03.wav,fearful
dataset\Actor_03\03-01-07-01-01-01-03.wav,disgust
dataset\Actor_03\03-01-07-01-01-02-03.wav,disgust
dataset\Actor_03\03-01-07-01-02-01-03.wav,disgust
dataset\Actor_03\03-01-07-01-02-02-03.wav,disgust
dataset\Actor_03\03-01-07-02-01-01-03.wav,disgust
dataset\Actor_03\03-01-07-02-01-02-03.wav,disgust
dataset\Actor_03\03-01-07-02-02-01-03.wav,disgust
dataset\Actor_03\03-01-07-02-02-02-03.wav,disgust
dataset\Actor_03\03-01-08-01-01-01-03.wav,surprised
dataset\Actor_03\03-01-08-01-01-02-03.wav,surprised
dataset\Actor_03\03-01-08-01-02-01-03.wav,surprised
dataset\Actor_03\03-01-08-01-02-02-03.wav,surprised
dataset\Actor_03\03-01-08-02-01-01-03.wav,surprised
dataset\Actor_03\03-01-08-02-01-02-03.wav,surprised
dataset\Actor_03\03-01-08-02-02-01-03.wav,surprised
dataset\Actor_03\03-01-08-02-02-02-03.wav,surprised
dataset\Actor_04\03-01-01-01-01-01-04.wav,neutral
dataset\Actor_04\03-01-01-01-01-02-04.wav,neutral
dataset\Actor_04\03-01-01-01-02-01-04.wav,neutral
dataset\Actor_04\03-01-01-01-02-02-04.wav,neutral
dataset\Actor_04\03-01-02-01-01-01-04.wav,calm
dataset\Actor_04\03-01-02-01-01-02-04.wav,calm
dataset\Actor_04\03-01-02-01-02-01-04.wav,calm
dataset\Actor_04\03-01-02-01-02-02-04.wav,calm
dataset\Actor_04\03-01-02-02-01-01-04.wav,calm
dataset\Actor_04\03-01-02-02-01-02-04.wav,calm
dataset\Actor_04\03-01-02-02-02-01-04.wav,calm
dataset\Actor_04\03-01-02-02-02-02-04.wav,calm
dataset\Actor_04\03-01-03-01-01-01-04.wav,happy
dataset\Actor_04\03-01-03-01-01-02-04.wav,happy
dataset\Actor_04\03-01-03-01-02-01-04.wav,happy
dataset\Actor_04\03-01-03-01-02-02-04.wav,happy
dataset\Actor_04\03-01-03-02-01-01-04.wav,happy
dataset\Actor_04\03-01-03-02-01-02-04.wav,happy
dataset\Actor_04\03-01-03-02-02-01-04.wav,happy
dataset\Actor_04\03-01-03-02-02-02-04.wav,happy
dataset\Actor_04\03-01-04-01-01-01-04.wav,sad
dataset\Actor_04\03-01-04-01-01-02-04.wav,sad
dataset\Actor_04\03-01-04-01-02-01-04.wav,sad
dataset\Actor_04\03-01-04-01-02-02-04.wav,sad
dataset\Actor_04\03-01-04-02-01-01-04.wav,sad
dataset\Actor_04\03-01-04-02-01-02-04.wav,sad
dataset\Actor_04\03-01-04-02-02-01-04.wav,sad
dataset\Actor_04\03-01-04-02-02-02-04.wav,sad
dataset\Actor_04\03-01-05-01-01-01-04.wav,angry
dataset\Actor_04\03-01-05-01-01-02-04.wav,angry
dataset\Actor_04\03-01-05-01-02-01-04.wav,angry
dataset\Actor_04\03-01-05-01-02-02-04.wav,angry
dataset\Actor_04\03-01-05-02-01-01-04.wav,angry
dataset\Actor_04\03-01-05-02-01-02-04.wav,angry
dataset\Actor_04\03-01-05-02-02-01-04.wav,angry
dataset\Actor_04\03-01-05-02-02-02-04.wav,angry
dataset\Actor_04\03-01-06-01-01-01-04.wav,fearful
dataset\Actor_04\03-01-06-01-01-02-04.wav,fearful
dataset\Actor_04\03-01-06-01-02-01-04.wav,fearful
dataset\Actor_04\03-01-06-01-02-02-04.wav,fearful
dataset\Actor_04\03-01-06-02-01-01-04.wav,fearful
dataset\Actor_04\03-01-06-02-01-02-04.wav,fearful
dataset\Actor_04\03-01-06-02-02-01-04.wav,fearful
dataset\Actor_04\03-01-06-02-02-02-04.wav,fearful
dataset\Actor_04\03-01-07-01-01-01-04.wav,disgust
dataset\Actor_04\03-01-07-01-01-02-04.wav,disgust
dataset\Actor_04\03-01-07-01-02-01-04.wav,disgust
dataset\Actor_04\03-01-07-01-02-02-04.wav,disgust
dataset\Actor_04\03-01-07-02-01-01-04.wav,disgust
dataset\Actor_04\03-01-07-02-01-02-04.wav,disgust
dataset\Actor_04\03-01-07-02-02-01-04.wav,disgust
dataset\Actor_04\03-01-07-02-02-02-04.wav,disgust
dataset\Actor_04\03-01-08-01-01-01-04.wav,surprised
dataset\Actor_04\03-01-08-01-01-02-04.wav,surprised
dataset\Actor_04\03-01-08-01-02-01-04.wav,surprised
dataset\Actor_04\03-01-08-01-02-02-04.wav,surprised
dataset\Actor_04\03-01-08-02-01-01-04.wav,surprised
dataset\Actor_04\03-01-08-02-01-02-04.wav,surprised
dataset\Actor_04\03-01-08-02-02-01-04.wav,surprised
dataset\Actor_04\03-01-08-02-02-02-04.wav,surprised
dataset\Actor_05\03-01-01-01-01-01-05.wav,neutral
dataset\Actor_05\03-01-01-01-01-02-05.wav,neutral
dataset\Actor_05\03-01-01-01-02-01-05.wav,neutral
dataset\Actor_05\03-01-01-01-02-02-05.wav,neutral
dataset\Actor_05\03-01-02-01-01-01-05.wav,calm
dataset\Actor_05\03-01-02-01-01-02-05.wav,calm
dataset\Actor_05\03-01-02-01-02-01-05.wav,calm
dataset\Actor_05\03-01-02-01-02-02-05.wav,calm
dataset\Actor_05\03-01-02-02-01-01-05.wav,calm
dataset\Actor_05\03-01-02-02-01-02-05.wav,calm
dataset\Actor_05\03-01-02-02-02-01-05.wav,calm
dataset\Actor_05\03-01-02-02-02-02-05.wav,calm
dataset\Actor_05\03-01-03-01-01-01-05.wav,happy
dataset\Actor_05\03-01-03-01-01-02-05.wav,happy
dataset\Actor_05\03-01-03-01-02-01-05.wav,happy
dataset\Actor_05\03-01-03-01-02-02-05.wav,happy
dataset\Actor_05\03-01-03-02-01-01-05.wav,happy
dataset\Actor_05\03-01-03-02-01-02-05.wav,happy
dataset\Actor_05\03-01-03-02-02-01-05.wav,happy
dataset\Actor_05\03-01-03-02-02-02-05.wav,happy
dataset\Actor_05\03-01-04-01-01-01-05.wav,sad
dataset\Actor_05\03-01-04-01-01-02-05.wav,sad
dataset\Actor_05\03-01-04-01-02-01-05.wav,sad
dataset\Actor_05\03-01-04-01-02-02-05.wav,sad
dataset\Actor_05\03-01-04-02-01-01-05.wav,sad
dataset\Actor_05\03-01-04-02-01-02-05.wav,sad
dataset\Actor_05\03-01-04-02-02-01-05.wav,sad
dataset\Actor_05\03-01-04-02-02-02-05.wav,sad
dataset\Actor_05\03-01-05-01-01-01-05.wav,angry
dataset\Actor_05\03-01-05-01-01-02-05.wav,angry
dataset\Actor_05\03-01-05-01-02-01-05.wav,angry
dataset\Actor_05\03-01-05-01-02-02-05.wav,angry
dataset\Actor_05\03-01-05-02-01-01-05.wav,angry
dataset\Actor_05\03-01-05-02-01-02-05.wav,angry
dataset\Actor_05\03-01-05-02-02-01-05.wav,angry
dataset\Actor_05\03-01-05-02-02-02-05.wav,angry
dataset\Actor_05\03-01-06-01-01-01-05.wav,fearful
dataset\Actor_05\03-01-06-01-01-02-05.wav,fearful
dataset\Actor_05\03-01-06-01-02-01-05.wav,fearful
dataset\Actor_05\03-01-06-01-02-02-05.wav,fearful
dataset\Actor_05\03-01-06-02-01-01-05.wav,fearful
dataset\Actor_05\03-01-06-02-01-02-05.wav,fearful
dataset\Actor_05\03-01-06-02-02-01-05.wav,fearful
dataset\Actor_05\03-01-06-02-02-02-05.wav,fearful
dataset\Actor_05\03-01-07-01-01-01-05.wav,disgust
dataset\Actor_05\03-01-07-01-01-02-05.wav,disgust
dataset\Actor_05\03-01-07-01-02-01-05.wav,disgust
dataset\Actor_05\03-01-07-01-02-02-05.wav,disgust
dataset\Actor_05\03-01-07-02-01-01-05.wav,disgust
dataset\Actor_05\03-01-07-02-01-02-05.wav,disgust
dataset\Actor_05\03-01-07-02-02-01-05.wav,disgust
dataset\Actor_05\03-01-07-02-02-02-05.wav,disgust
dataset\Actor_05\03-01-08-01-01-01-05.wav,surprised
dataset\Actor_05\03-01-08-01-01-02-05.wav,surprised
dataset\Actor_05\03-01-08-01-02-01-05.wav,surprised
dataset\Actor_05\03-01-08-01-02-02-05.wav,surprised
dataset\Actor_05\03-01-08-02-01-01-05.wav,surprised
dataset\Actor_05\03-01-08-02-01-02-05.wav,surprised
dataset\Actor_05\03-01-08-02-02-01-05.wav,surprised
dataset\Actor_05\03-01-08-02-02-02-05.wav,surprised
dataset\Actor_06\03-01-01-01-01-01-06.wav,neutral
dataset\Actor_06\03-01-01-01-01-02-06.wav,neutral
dataset\Actor_06\03-01-01-01-02-01-06.wav,neutral
dataset\Actor_06\03-01-01-01-02-02-06.wav,neutral
dataset\Actor_06\03-01-02-01-01-01-06.wav,calm
dataset\Actor_06\03-01-02-01-01-02-06.wav,calm
dataset\Actor_06\03-01-02-01-02-01-06.wav,calm
dataset\Actor_06\03-01-02-01-02-02-06.wav,calm
dataset\Actor_06\03-01-02-02-01-01-06.wav,calm
dataset\Actor_06\03-01-02-02-01-02-06.wav,calm
dataset\Actor_06\03-01-02-02-02-01-06.wav,calm
dataset\Actor_06\03-01-02-02-02-02-06.wav,calm
dataset\Actor_06\03-01-03-01-01-01-06.wav,happy
dataset\Actor_06\03-01-03-01-01-02-06.wav,happy
dataset\Actor_06\03-01-03-01-02-01-06.wav,happy
dataset\Actor_06\03-01-03-01-02-02-06.wav,happy
dataset\Actor_06\03-01-03-02-01-01-06.wav,happy
dataset\Actor_06\03-01-03-02-01-02-06.wav,happy
dataset\Actor_06\03-01-03-02-02-01-06.wav,happy
dataset\Actor_06\03-01-03-02-02-02-06.wav,happy
dataset\Actor_06\03-01-04-01-01-01-06.wav,sad
dataset\Actor_06\03-01-04-01-01-02-06.wav,sad
dataset\Actor_06\03-01-04-01-02-01-06.wav,sad
dataset\Actor_06\03-01-04-01-02-02-06.wav,sad
dataset\Actor_06\03-01-04-02-01-01-06.wav,sad
dataset\Actor_06\03-01-04-02-01-02-06.wav,sad
dataset\Actor_06\03-01-04-02-02-01-06.wav,sad
dataset\Actor_06\03-01-04-02-02-02-06.wav,sad
dataset\Actor_06\03-01-05-01-01-01-06.wav,angry
dataset\Actor_06\03-01-05-01-01-02-06.wav,angry
dataset\Actor_06\03-01-05-01-02-01-06.wav,angry
dataset\Actor_06\03-01-05-01-02-02-06.wav,angry
dataset\Actor_06\03-01-05-02-01-01-06.wav,angry
dataset\Actor_06\03-01-05-02-01-02-06.wav,angry
dataset\Actor_06\03-01-05-02-02-01-06.wav,angry
dataset\Actor_06\03-01-05-02-02-02-06.wav,angry
dataset\Actor_06\03-01-06-01-01-01-06.wav,fearful
dataset\Actor_06\03-01-06-01-01-02-06.wav,fearful
dataset\Actor_06\03-01-06-01-02-01-06.wav,fearful
dataset\Actor_06\03-01-06-01-02-02-06.wav,fearful
dataset\Actor_06\03-01-06-02-01-01-06.wav,fearful
dataset\Actor_06\03-01-06-02-01-02-06.wav,fearful
dataset\Actor_06\03-01-06-02-02-01-06.wav,fearful
dataset\Actor_06\03-01-06-02-02-02-06.wav,fearful
dataset\Actor_06\03-01-07-01-01-01-06.wav,disgust
dataset\Actor_06\03-01-07-01-01-02-06.wav,disgust
dataset\Actor_06\03-01-07-01-02-01-06.wav,disgust
dataset\Actor_06\03-01-07-01-02-02-06.wav,disgust
dataset\Actor_06\03-01-07-02-01-01-06.wav,disgust
dataset\Actor_06\03-01-07-02-01-02-06.wav,disgust
dataset\Actor_06\03-01-07-02-02-01-06.wav,disgust
dataset\Actor_06\03-01-07-02-02-02-06.wav,disgust
dataset\Actor_06\03-01-08-01-01-01-06.wav,surprised
dataset\Actor_06\03-01-08-01-01-02-06.wav,surprised
dataset\Actor_06\03-01-08-01-02-01-06.wav,surprised
dataset\Actor_06\03-01-08-01-02-02-06.wav,surprised
dataset\Actor_06\03-01-08-02-01-01-06.wav,surprised
dataset\Actor_06\03-01-08-02-01-02-06.wav,surprised
dataset\Actor_06\03-01-08-02-02-01-06.wav,surprised
dataset\Actor_06\03-01-08-02-02-02-06.wav,surprised
dataset\Actor_07\03-01-01-01-01-01-07.wav,neutral
dataset\Actor_07\03-01-01-01-01-02-07.wav,neutral
dataset\Actor_07\03-01-01-01-02-01-07.wav,neutral
dataset\Actor_07\03-01-01-01-02-02-07.wav,neutral
dataset\Actor_07\03-01-02-01-01-01-07.wav,calm
dataset\Actor_07\03-01-02-01-01-02-07.wav,calm
dataset\Actor_07\03-01-02-01-02-01-07.wav,calm
dataset\Actor_07\03-01-02-01-02-02-07.wav,calm
dataset\Actor_07\03-01-02-02-01-01-07.wav,calm
dataset\Actor_07\03-01-02-02-01-02-07.wav,calm
dataset\Actor_07\03-01-02-02-02-01-07.wav,calm
dataset\Actor_07\03-01-02-02-02-02-07.wav,calm
dataset\Actor_07\03-01-03-01-01-01-07.wav,happy
dataset\Actor_07\03-01-03-01-01-02-07.wav,happy
dataset\Actor_07\03-01-03-01-02-01-07.wav,happy
dataset\Actor_07\03-01-03-01-02-02-07.wav,happy
dataset\Actor_07\03-01-03-02-01-01-07.wav,happy
dataset\Actor_07\03-01-03-02-01-02-07.wav,happy
dataset\Actor_07\03-01-03-02-02-01-07.wav,happy
dataset\Actor_07\03-01-03-02-02-02-07.wav,happy
dataset\Actor_07\03-01-04-01-01-01-07.wav,sad
dataset\Actor_07\03-01-04-01-01-02-07.wav,sad
dataset\Actor_07\03-01-04-01-02-01-07.wav,sad
dataset\Actor_07\03-01-04-01-02-02-07.wav,sad
dataset\Actor_07\03-01-04-02-01-01-07.wav,sad
dataset\Actor_07\03-01-04-02-01-02-07.wav,sad
dataset\Actor_07\03-01-04-02-02-01-07.wav,sad
dataset\Actor_07\03-01-04-02-02-02-07.wav,sad
dataset\Actor_07\03-01-05-01-01-01-07.wav,angry
dataset\Actor_07\03-01-05-01-01-02-07.wav,angry
dataset\Actor_07\03-01-05-01-02-01-07.wav,angry
dataset\Actor_07\03-01-05-01-02-02-07.wav,angry
dataset\Actor_07\03-01-05-02-01-01-07.wav,angry
dataset\Actor_07\03-01-05-02-01-02-07.wav,angry
dataset\Actor_07\03-01-05-02-02-01-07.wav,angry
dataset\Actor_07\03-01-05-02-02-02-07.wav,angry
dataset\Actor_07\03-01-06-01-01-01-07.wav,fearful
dataset\Actor_07\03-01-06-01-01-02-07.wav,fearful
dataset\Actor_07\03-01-06-01-02-01-07.wav,fearful
dataset\Actor_07\03-01-06-01-02-02-07.wav,fearful
dataset\Actor_07\03-01-06-02-01-01-07.wav,fearful
dataset\Actor_07\03-01-06-02-01-02-07.wav,fearful
dataset\Actor_07\03-01-06-02-02-01-07.wav,fearful
dataset\Actor_07\03-01-06-02-02-02-07.wav,fearful
dataset\Actor_07\03-01-07-01-01-01-07.wav,disgust
dataset\Actor_07\03-01-07-01-01-02-07.wav,disgust
dataset\Actor_07\03-01-07-01-02-01-07.wav,disgust
dataset\Actor_07\03-01-07-01-02-02-07.wav,disgust
dataset\Actor_07\03-01-07-02-01-01-07.wav,disgust
dataset\Actor_07\03-01-07-02-01-02-07.wav,disgust
dataset\Actor_07\03-01-07-02-02-01-07.wav,disgust
dataset\Actor_07\03-01-07-02-02-02-07.wav,disgust
dataset\Actor_07\03-01-08-01-01-01-07.wav,surprised
dataset\Actor_07\03-01-08-01-01-02-07.wav,surprised
dataset\Actor_07\03-01-08-01-02-01-07.wav,surprised
dataset\Actor_07\03-01-08-01-02-02-07.wav,surprised
dataset\Actor_07\03-01-08-02-01-01-07.wav,surprised
dataset\Actor_07\03-01-08-02-01-02-07.wav,surprised
dataset\Actor_07\03-01-08-02-02-01-07.wav,surprised
dataset\Actor_07\03-01-08-02-02-02-07.wav,surprised
dataset\Actor_08\03-01-01-01-01-01-08.wav,neutral
dataset\Actor_08\03-01-01-01-01-02-08.wav,neutral
dataset\Actor_08\03-01-01-01-02-01-08.wav,neutral
dataset\Actor_08\03-01-01-01-02-02-08.wav,neutral
dataset\Actor_08\03-01-02-01-01-01-08.wav,calm
dataset\Actor_08\03-01-02-01-01-02-08.wav,calm
dataset\Actor_08\03-01-02-01-02-01-08.wav,calm
dataset\Actor_08\03-01-02-01-02-02-08.wav,calm
dataset\Actor_08\03-01-02-02-01-01-08.wav,calm
dataset\Actor_08\03-01-02-02-01-02-08.wav,calm
dataset\Actor_08\03-01-02-02-02-01-08.wav,calm
dataset\Actor_08\03-01-02-02-02-02-08.wav,calm
dataset\Actor_08\03-01-03-01-01-01-08.wav,happy
dataset\Actor_08\03-01-03-01-01-02-08.wav,happy
dataset\Actor_08\03-01-03-01-02-01-08.wav,happy
dataset\Actor_08\03-01-03-01-02-02-08.wav,happy
dataset\Actor_08\03-01-03-02-01-01-08.wav,happy
dataset\Actor_08\03-01-03-02-01-02-08.wav,happy
dataset\Actor_08\03-01-03-02-02-01-08.wav,happy
dataset\Actor_08\03-01-03-02-02-02-08.wav,happy
dataset\Actor_08\03-01-04-01-01-01-08.wav,sad
dataset\Actor_08\03-01-04-01-01-02-08.wav,sad
dataset\Actor_08\03-01-04-01-02-01-08.wav,sad
dataset\Actor_08\03-01-04-01-02-02-08.wav,sad
dataset\Actor_08\03-01-04-02-01-01-08.wav,sad
dataset\Actor_08\03-01-04-02-01-02-08.wav,sad
dataset\Actor_08\03-01-04-02-02-01-08.wav,sad
dataset\Actor_08\03-01-04-02-02-02-08.wav,sad
dataset\Actor_08\03-01-05-01-01-01-08.wav,angry
dataset\Actor_08\03-01-05-01-01-02-08.wav,angry
dataset\Actor_08\03-01-05-01-02-01-08.wav,angry
dataset\Actor_08\03-01-05-01-02-02-08.wav,angry
dataset\Actor_08\03-01-05-02-01-01-08.wav,angry
dataset\Actor_08\03-01-05-02-01-02-08.wav,angry
dataset\Actor_08\03-01-05-02-02-01-08.wav,angry
dataset\Actor_08\03-01-05-02-02-02-08.wav,angry
dataset\Actor_08\03-01-06-01-01-01-08.wav,fearful
dataset\Actor_08\03-01-06-01-01-02-08.wav,fearful
dataset\Actor_08\03-01-06-01-02-01-08.wav,fearful
